Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.6,0,L,2.7526,TRUE
1,2,radial,0,0.15, ,0,0
1,3,radial,0.45,0,L,2.7738,TRUE
1,4,radial,0.3,0,L,2.1352,TRUE
1,5,radial,0.15,0,L,3.4254,TRUE
1,6,radial,0.6,0,L,1.8518,TRUE
1,7,linear,0,0.45,R,2.152,TRUE
1,8,linear,0.15,0,L,4.1037,TRUE
1,9,radial,0,0.3,R,2.5187,TRUE
1,10,radial,0,0.6,R,2.235,TRUE
1,11,radial,0,0.45,R,2.1021,TRUE
1,12,linear,0,0.15,R,3.8368,TRUE
1,13,linear,0.45,0,R,2.986,FALSE
1,14,linear,0,0.6,R,1.9683,TRUE
1,15,linear,0,0.3,R,3.7197,TRUE
1,16,linear,0.3,0,L,2.1774,TRUE
2,1,radial,0,0.15,R,2.8543,TRUE
2,2,radial,0.45,0,L,2.6024,TRUE
2,3,linear,0.6,0,L,1.8227,TRUE
2,4,linear,0,0.45,R,1.7684,TRUE
2,5,linear,0.15,0, ,0,0
2,6,radial,0.3,0,L,2.1713,TRUE
2,7,radial,0.15,0,L,3.0531,TRUE
2,8,linear,0,0.15,R,5.8558,TRUE
2,9,linear,0.45,0,L,1.8518,TRUE
2,10,radial,0.6,0,L,2.3851,TRUE
2,11,radial,0,0.3,R,3.0534,TRUE
2,12,radial,0,0.6,R,1.5575,TRUE
2,13,linear,0,0.6,R,1.9017,TRUE
2,14,linear,0,0.3,R,3.9201,TRUE
2,15,radial,0,0.45,R,1.9853,TRUE
2,16,linear,0.3,0,R,3.4194,FALSE
3,1,linear,0.6,0,R,2.3526,FALSE
3,2,linear,0,0.45,R,1.735,TRUE
3,3,radial,0,0.15,R,1.2345,TRUE
3,4,linear,0.15,0,L,2.4528,TRUE
3,5,linear,0,0.15,L,4.0199,FALSE
3,6,radial,0.45,0,R,1.7683,FALSE
3,7,linear,0.45,0,L,2.1857,TRUE
3,8,linear,0,0.6,R,2.7195,TRUE
3,9,linear,0,0.3,R,5.7217,TRUE
3,10,radial,0.3,0,L,1.9516,TRUE
3,11,radial,0.15,0,L,2.7425,TRUE
3,12,linear,0.3,0,R,2.3021,FALSE
3,13,radial,0.6,0,L,1.9018,TRUE
3,14,radial,0,0.3,R,2.3188,TRUE
3,15,radial,0,0.6,R,1.9019,TRUE
3,16,radial,0,0.45,R,2.6528,TRUE
4,1,linear,0.6,0,L,2.2524,TRUE
4,2,radial,0,0.15,R,2.0527,TRUE
4,3,radial,0.45,0,L,3.5198,TRUE
4,4,linear,0,0.45,R,2.3527,TRUE
4,5,radial,0.3,0,L,2.0539,TRUE
4,6,radial,0.15,0,R,1.7395,FALSE
4,7,radial,0.6,0,R,4.8039,FALSE
4,8,linear,0.15,0,R,4.5872,FALSE
4,9,radial,0,0.3,R,2.0386,TRUE
4,10,linear,0,0.15,R,5.8603,TRUE
4,11,linear,0.45,0,R,4.0054,FALSE
4,12,radial,0,0.6,R,1.6682,TRUE
4,13,linear,0,0.6,R,1.9021,TRUE
4,14,linear,0,0.3,R,2.2914,TRUE
4,15,radial,0,0.45,R,2.3689,TRUE
4,16,linear,0.3,0,R,2.4353,FALSE
5,1,radial,0,0.15,R,3.976,TRUE
5,2,radial,0.45,0,L,2.4353,TRUE
5,3,radial,0.3,0,L,1.9685,TRUE
5,4,linear,0.6,0,L,1.9067,TRUE
5,5,radial,0.15,0,L,2.3854,TRUE
5,6,linear,0,0.45,R,3.0037,TRUE
5,7,radial,0.6,0,L,2.819,TRUE
5,8,linear,0.15,0,L,8.3736,TRUE
5,9,radial,0,0.3,R,3.1071,TRUE
5,10,linear,0,0.15,L,5.1045,FALSE
5,11,linear,0.45,0,L,2.2687,TRUE
5,12,linear,0,0.6,R,2.6188,TRUE
5,13,linear,0,0.3,R,2.3525,TRUE
5,14,radial,0,0.6,R,1.5348,TRUE
5,15,linear,0.3,0,R,1.9907,FALSE
5,16,radial,0,0.45,R,1.989,TRUE
