Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0,0.6,R,3.403,TRUE
1,2,radial,0.6,0,L,2.2885,TRUE
1,3,radial,0,0.15,R,2.4356,TRUE
1,4,radial,0,0.45,R,1.2178,TRUE
1,5,linear,0.6,0,L,1.3192,TRUE
1,6,linear,0,0.45,R,1.3014,TRUE
1,7,radial,0,0.3,R,1.0175,TRUE
1,8,radial,0.45,0,L,0.95046,TRUE
1,9,radial,0,0.6,R,1.1178,TRUE
1,10,radial,0.15,0,L,4.3567,TRUE
1,11,radial,0.3,0,L,1.1512,TRUE
1,12,linear,0,0.3,R,1.0011,TRUE
1,13,linear,0.3,0,L,1.3347,TRUE
1,14,linear,0.45,0,L,1.2534,TRUE
1,15,linear,0,0.15,R,1.785,TRUE
1,16,linear,0.15,0,L,1.2351,TRUE
2,1,radial,0.6,0,L,1.0688,TRUE
2,2,linear,0,0.6,R,1.2845,TRUE
2,3,linear,0.6,0,L,1.2771,TRUE
2,4,linear,0,0.45,R,1.6027,TRUE
2,5,linear,0,0.3,R,1.5013,TRUE
2,6,linear,0.3,0,L,1.2179,TRUE
2,7,radial,0,0.15,R,1.4739,TRUE
2,8,linear,0.45,0,L,1.5682,TRUE
2,9,radial,0,0.45,R,1.2013,TRUE
2,10,linear,0,0.15,L,2.8529,FALSE
2,11,radial,0,0.3,R,1.6055,TRUE
2,12,radial,0.45,0,L,1.2846,TRUE
2,13,linear,0.15,0,L,4.5876,TRUE
2,14,radial,0,0.6,R,1.318,TRUE
2,15,radial,0.15,0,L,1.2011,TRUE
2,16,radial,0.3,0,L,1.3711,TRUE
3,1,radial,0.6,0,L,1.1181,TRUE
3,2,radial,0,0.15,R,2.986,TRUE
3,3,linear,0,0.6,R,1.4705,TRUE
3,4,radial,0,0.45,R,1.0846,TRUE
3,5,radial,0,0.3,R,1.6022,TRUE
3,6,linear,0.6,0,L,1.2175,TRUE
3,7,linear,0,0.45,R,1.0846,TRUE
3,8,radial,0.45,0,L,1.3686,TRUE
3,9,linear,0,0.3,R,1.4078,TRUE
3,10,linear,0.3,0,L,1.6181,TRUE
3,11,radial,0,0.6,R,1.2176,TRUE
3,12,linear,0.45,0,L,1.3355,TRUE
3,13,linear,0,0.15,R,1.7681,TRUE
3,14,radial,0.15,0,L,2.7533,TRUE
3,15,radial,0.3,0,L,1.6064,TRUE
3,16,linear,0.15,0,L,2.7696,TRUE
4,1,radial,0.6,0,L,1.1842,TRUE
4,2,radial,0,0.15,R,1.2179,TRUE
4,3,radial,0,0.45,R,1.3083,TRUE
4,4,radial,0,0.3,R,1.4848,TRUE
4,5,linear,0,0.6,R,1.3177,TRUE
4,6,radial,0.45,0,L,1.4072,TRUE
4,7,radial,0,0.6,R,1.4847,TRUE
4,8,linear,0.6,0,L,1.2184,TRUE
4,9,radial,0.15,0,R,1.773,FALSE
4,10,radial,0.3,0,L,1.3009,TRUE
4,11,linear,0,0.45,R,1.3016,TRUE
4,12,linear,0,0.3,R,1.6024,TRUE
4,13,linear,0.3,0,L,1.7014,TRUE
4,14,linear,0.45,0,L,1.5345,TRUE
4,15,linear,0,0.15,R,4.654,TRUE
4,16,linear,0.15,0,L,5.7885,TRUE
5,1,linear,0,0.6,R,1.4043,TRUE
5,2,radial,0.6,0,L,1.0177,TRUE
5,3,radial,0,0.15,R,1.9184,TRUE
5,4,radial,0,0.45,R,1.6016,TRUE
5,5,linear,0.6,0,L,1.1345,TRUE
5,6,radial,0,0.3,R,1.3354,TRUE
5,7,linear,0,0.45,R,1.4022,TRUE
5,8,radial,0.45,0,L,1.2845,TRUE
5,9,radial,0,0.6,R,1.1185,TRUE
5,10,linear,0,0.3,R,1.4513,TRUE
5,11,radial,0.15,0,L,2.836,TRUE
5,12,radial,0.3,0,L,1.4345,TRUE
5,13,linear,0.3,0,L,1.4513,TRUE
5,14,linear,0.45,0,L,1.4522,TRUE
5,15,linear,0,0.15,R,2.1022,TRUE
5,16,linear,0.15,0,L,4.6877,TRUE
