Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0,0.6,R,2.3022,TRUE
1,2,radial,0.6,0,L,1.6356,TRUE
1,3,radial,0,0.15,R,2.6858,TRUE
1,4,radial,0,0.45,R,1.6852,TRUE
1,5,linear,0.6,0,L,2.4522,TRUE
1,6,linear,0,0.45,R,2.1077,TRUE
1,7,radial,0,0.3,R,1.1897,TRUE
1,8,radial,0.45,0,L,1.718,TRUE
1,9,radial,0,0.6,R,1.8525,TRUE
1,10,radial,0.15,0,L,1.5421,TRUE
1,11,radial,0.3,0,L,1.6702,TRUE
1,12,linear,0,0.3,R,2.6854,TRUE
1,13,linear,0.3,0,L,1.7352,TRUE
1,14,linear,0.45,0,L,1.6515,TRUE
1,15,linear,0,0.15,R,5.2882,TRUE
1,16,linear,0.15,0, ,0,0
2,1,radial,0.6,0,L,1.6858,TRUE
2,2,linear,0,0.6,R,1.8683,TRUE
2,3,linear,0.6,0,L,1.4102,TRUE
2,4,linear,0,0.45,R,2.1547,TRUE
2,5,linear,0,0.3,R,1.8233,TRUE
2,6,linear,0.3,0,L,1.4857,TRUE
2,7,radial,0,0.15,R,1.735,TRUE
2,8,linear,0.45,0,L,3.3696,TRUE
2,9,radial,0,0.45,R,1.4181,TRUE
2,10,linear,0,0.15,L,4.2369,FALSE
2,11,radial,0,0.3,R,1.7181,TRUE
2,12,radial,0.45,0,L,1.6347,TRUE
2,13,linear,0.15,0,R,8.8577,FALSE
2,14,radial,0,0.6,R,1.5846,TRUE
2,15,radial,0.15,0,L,7.0464,TRUE
2,16,radial,0.3,0,L,1.6352,TRUE
3,1,radial,0.6,0,L,1.3344,TRUE
3,2,radial,0,0.15,R,5.9385,TRUE
3,3,linear,0,0.6,R,1.9399,TRUE
3,4,radial,0,0.45,R,1.8603,TRUE
3,5,radial,0,0.3,R,3.1032,TRUE
3,6,linear,0.6,0,L,1.4851,TRUE
3,7,linear,0,0.45,R,2.2372,TRUE
3,8,radial,0.45,0,L,1.2847,TRUE
3,9,linear,0,0.3,R,1.7224,TRUE
3,10,linear,0.3,0,L,1.6686,TRUE
3,11,radial,0,0.6,R,1.2679,TRUE
3,12,linear,0.45,0,L,1.3181,TRUE
3,13,linear,0,0.15,L,6.5556,FALSE
3,14,radial,0.15,0,R,5.2279,FALSE
3,15,radial,0.3,0,L,2.3853,TRUE
3,16,linear,0.15,0,L,7.1623,TRUE
4,1,radial,0.6,0,L,1.3677,TRUE
4,2,radial,0,0.15,L,3.3362,FALSE
4,3,radial,0,0.45,R,1.8388,TRUE
4,4,radial,0,0.3,R,1.1228,TRUE
4,5,linear,0,0.6,R,1.5016,TRUE
4,6,radial,0.45,0,L,2.1852,TRUE
4,7,radial,0,0.6,R,2.152,TRUE
4,8,linear,0.6,0,L,1.9515,TRUE
4,9,radial,0.15,0,L,7.108,TRUE
4,10,radial,0.3,0,L,4.9044,TRUE
4,11,linear,0,0.45,R,1.668,TRUE
4,12,linear,0,0.3,R,3.253,TRUE
4,13,linear,0.3,0,L,2.5185,TRUE
4,14,linear,0.45,0,L,3.876,TRUE
4,15,linear,0,0.15,R,3.4865,TRUE
4,16,linear,0.15,0,R,3.5032,FALSE
5,1,linear,0,0.6,R,1.6346,TRUE
5,2,radial,0.6,0,L,2.7522,TRUE
5,3,radial,0,0.15,R,2.7521,TRUE
5,4,radial,0,0.45,R,1.8683,TRUE
5,5,linear,0.6,0,L,1.4846,TRUE
5,6,radial,0,0.3,R,3.6292,TRUE
5,7,linear,0,0.45,R,1.7511,TRUE
5,8,radial,0.45,0,L,1.4848,TRUE
5,9,radial,0,0.6,R,1.3179,TRUE
5,10,linear,0,0.3,R,1.3846,TRUE
5,11,radial,0.15,0,L,3.5899,TRUE
5,12,radial,0.3,0,L,1.9348,TRUE
5,13,linear,0.3,0,L,1.8513,TRUE
5,14,linear,0.45,0,L,5.2546,TRUE
5,15,linear,0,0.15,L,1.6351,FALSE
5,16,linear,0.15,0,L,2.8526,TRUE
