Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0,0.6,R,5.1377,TRUE
1,2,radial,0.6,0,L,1.9032,TRUE
1,3,radial,0,0.15,R,1.6023,TRUE
1,4,radial,0,0.45,R,1.8685,TRUE
1,5,linear,0.6,0,L,1.8439,TRUE
1,6,linear,0,0.45,R,2.2355,TRUE
1,7,radial,0,0.3,R,2.8857,TRUE
1,8,radial,0.45,0,L,1.3679,TRUE
1,9,radial,0,0.6,R,1.3014,TRUE
1,10,radial,0.15,0,L,1.3679,TRUE
1,11,radial,0.3,0,L,1.8682,TRUE
1,12,linear,0,0.3,R,2.2189,TRUE
1,13,linear,0.3,0,L,1.868,TRUE
1,14,linear,0.45,0,L,2.5522,TRUE
1,15,linear,0,0.15,R,6.9922,TRUE
1,16,linear,0.15,0,L,2.8558,TRUE
2,1,radial,0.6,0,L,2.005,TRUE
2,2,linear,0,0.6,R,2.5856,TRUE
2,3,linear,0.6,0,L,1.4016,TRUE
2,4,linear,0,0.45,R,2.3392,TRUE
2,5,linear,0,0.3,R,2.0352,TRUE
2,6,linear,0.3,0,L,3.3199,TRUE
2,7,radial,0,0.15,R,3.1196,TRUE
2,8,linear,0.45,0,L,4.4536,TRUE
2,9,radial,0,0.45,R,2.1352,TRUE
2,10,linear,0,0.15,R,3.2528,TRUE
2,11,radial,0,0.3,R,3.1196,TRUE
2,12,radial,0.45,0,L,1.7687,TRUE
2,13,linear,0.15,0,R,9.6582,FALSE
2,14,radial,0,0.6,R,4.174,TRUE
2,15,radial,0.15,0,L,1.1678,TRUE
2,16,radial,0.3,0,L,1.4848,TRUE
3,1,radial,0.6,0,L,1.4014,TRUE
3,2,radial,0,0.15,R,1.673,TRUE
3,3,linear,0,0.6,R,1.9689,TRUE
3,4,radial,0,0.45,R,1.8865,TRUE
3,5,radial,0,0.3,R,1.3368,TRUE
3,6,linear,0.6,0,L,1.4851,TRUE
3,7,linear,0,0.45,R,2.1852,TRUE
3,8,radial,0.45,0,L,5.31,TRUE
3,9,linear,0,0.3,R,1.6185,TRUE
3,10,linear,0.3,0,L,1.6515,TRUE
3,11,radial,0,0.6,R,1.418,TRUE
3,12,linear,0.45,0,L,1.5869,TRUE
3,13,linear,0,0.15, ,0,0
3,14,radial,0.15,0,L,3.7029,TRUE
3,15,radial,0.3,0,L,1.6566,TRUE
3,16,linear,0.15,0,R,3.6777,FALSE
4,1,radial,0.6,0,L,3.0213,TRUE
4,2,radial,0,0.15,R,4.8377,TRUE
4,3,radial,0,0.45,R,1.4348,TRUE
4,4,radial,0,0.3,R,1.3013,TRUE
4,5,linear,0,0.6,R,1.9683,TRUE
4,6,radial,0.45,0,L,1.6063,TRUE
4,7,radial,0,0.6,R,1.487,TRUE
4,8,linear,0.6,0,L,1.5396,TRUE
4,9,radial,0.15,0,R,2.1186,FALSE
4,10,radial,0.3,0,L,2.1521,TRUE
4,11,linear,0,0.45,R,2.5571,TRUE
4,12,linear,0,0.3,R,3.2695,TRUE
4,13,linear,0.3,0,L,3.3737,TRUE
4,14,linear,0.45,0,L,5.4549,TRUE
4,15,linear,0,0.15,L,2.602,FALSE
4,16,linear,0.15,0,L,7.5562,TRUE
5,1,linear,0,0.6,R,2.2868,TRUE
5,2,radial,0.6,0,L,1.5527,TRUE
5,3,radial,0,0.15,L,2.3354,FALSE
5,4,radial,0,0.45,R,1.5684,TRUE
5,5,linear,0.6,0,L,1.6564,TRUE
5,6,radial,0,0.3,R,1.6435,TRUE
5,7,linear,0,0.45,R,2.919,TRUE
5,8,radial,0.45,0,L,1.469,TRUE
5,9,radial,0,0.6,R,1.8015,TRUE
5,10,linear,0,0.3,R,3.6143,TRUE
5,11,radial,0.15,0,L,1.5515,TRUE
5,12,radial,0.3,0,L,3.1537,TRUE
5,13,linear,0.3,0,L,5.1707,TRUE
5,14,linear,0.45,0,L,1.6887,TRUE
5,15,linear,0,0.15,R,5.0764,TRUE
5,16,linear,0.15,0,L,4.7375,TRUE
