Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.6,0,L,1.2581,TRUE
1,2,radial,0,0.15,R,2.8369,TRUE
1,3,radial,0.45,0,L,1.5848,TRUE
1,4,radial,0.3,0,L,1.846,TRUE
1,5,radial,0.15,0,L,2.1181,TRUE
1,6,radial,0.6,0,L,1.468,TRUE
1,7,linear,0,0.45,R,3.9032,TRUE
1,8,linear,0.15,0, ,0,0
1,9,radial,0,0.3,R,2.152,TRUE
1,10,radial,0,0.6,R,1.1844,TRUE
1,11,radial,0,0.45,R,2.4523,TRUE
1,12,linear,0,0.15,R,1.9186,TRUE
1,13,linear,0.45,0,L,2.0356,TRUE
1,14,linear,0,0.6,R,2.4078,TRUE
1,15,linear,0,0.3,R,3.2196,TRUE
1,16,linear,0.3,0,L,4.5094,TRUE
2,1,radial,0,0.15,R,4.0537,TRUE
2,2,radial,0.45,0,L,1.2353,TRUE
2,3,linear,0.6,0,L,1.3508,TRUE
2,4,linear,0,0.45,R,1.1178,TRUE
2,5,linear,0.15,0,L,1.9185,TRUE
2,6,radial,0.3,0,L,1.1509,TRUE
2,7,radial,0.15,0,L,2.1353,TRUE
2,8,linear,0,0.15,R,2.135,TRUE
2,9,linear,0.45,0,L,1.4951,TRUE
2,10,radial,0.6,0,L,1.4176,TRUE
2,11,radial,0,0.3,R,1.4676,TRUE
2,12,radial,0,0.6,R,1.4867,TRUE
2,13,linear,0,0.6,R,1.7518,TRUE
2,14,linear,0,0.3,R,3.0864,TRUE
2,15,radial,0,0.45,R,1.3532,TRUE
2,16,linear,0.3,0,L,2.1215,TRUE
3,1,linear,0.6,0,L,1.5514,TRUE
3,2,linear,0,0.45,R,3.9864,TRUE
3,3,radial,0,0.15,R,6.2725,TRUE
3,4,linear,0.15,0,L,3.5032,TRUE
3,5,linear,0,0.15, ,0,0
3,6,radial,0.45,0,L,1.6682,TRUE
3,7,linear,0.45,0,L,1.4511,TRUE
3,8,linear,0,0.6,R,1.326,TRUE
3,9,linear,0,0.3,R,2.908,TRUE
3,10,radial,0.3,0,L,1.9016,TRUE
3,11,radial,0.15,0,L,2.1034,TRUE
3,12,linear,0.3,0,L,1.9858,TRUE
3,13,radial,0.6,0,L,1.3571,TRUE
3,14,radial,0,0.3,R,5.2891,TRUE
3,15,radial,0,0.6,R,1.0844,TRUE
3,16,radial,0,0.45,R,2.2906,TRUE
4,1,linear,0.6,0,L,1.819,TRUE
4,2,radial,0,0.15,R,4.6539,TRUE
4,3,radial,0.45,0,L,2.2852,TRUE
4,4,linear,0,0.45,R,1.876,TRUE
4,5,radial,0.3,0,L,1.818,TRUE
4,6,radial,0.15,0,L,1.7684,TRUE
4,7,radial,0.6,0,L,1.1848,TRUE
4,8,linear,0.15,0,L,3.2101,TRUE
4,9,radial,0,0.3,R,1.2682,TRUE
4,10,linear,0,0.15,R,4.8372,TRUE
4,11,linear,0.45,0,L,1.5682,TRUE
4,12,radial,0,0.6,R,2.8022,TRUE
4,13,linear,0,0.6,R,2.4354,TRUE
4,14,linear,0,0.3,R,1.9352,TRUE
4,15,radial,0,0.45,R,1.2719,TRUE
4,16,linear,0.3,0,L,2.2549,TRUE
5,1,radial,0,0.15, ,0,0
5,2,radial,0.45,0,L,1.3178,TRUE
5,3,radial,0.3,0,L,2.2861,TRUE
5,4,linear,0.6,0,L,2.0687,TRUE
5,5,radial,0.15,0,R,2.7856,FALSE
5,6,linear,0,0.45,R,2.8025,TRUE
5,7,radial,0.6,0,L,2.2355,TRUE
5,8,linear,0.15,0,R,2.5693,FALSE
5,9,radial,0,0.3,R,2.0852,TRUE
5,10,linear,0,0.15,L,2.486,FALSE
5,11,linear,0.45,0,L,1.5188,TRUE
5,12,linear,0,0.6,R,1.1011,TRUE
5,13,linear,0,0.3,R,1.401,TRUE
5,14,radial,0,0.6,R,1.1519,TRUE
5,15,linear,0.3,0,L,1.3177,TRUE
5,16,radial,0,0.45,R,1.1011,TRUE
