Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.6,0,L,2.5018,TRUE
1,2,radial,0,0.15,R,1.2512,TRUE
1,3,radial,0.45,0,L,1.0178,TRUE
1,4,radial,0.3,0,L,1.1511,TRUE
1,5,radial,0.15,0,L,1.201,TRUE
1,6,radial,0.6,0,L,1.0011,TRUE
1,7,linear,0,0.45,R,1.1349,TRUE
1,8,linear,0.15,0,L,1.2679,TRUE
1,9,radial,0,0.3,R,1.2344,TRUE
1,10,radial,0,0.6,R,1.2012,TRUE
1,11,radial,0,0.45,R,2.4022,TRUE
1,12,linear,0,0.15,R,1.4939,TRUE
1,13,linear,0.45,0,L,1.1007,TRUE
1,14,linear,0,0.6,R,1.1346,TRUE
1,15,linear,0,0.3,R,3.0025,TRUE
1,16,linear,0.3,0,L,1.3674,TRUE
2,1,radial,0,0.15,R,1.5515,TRUE
2,2,radial,0.45,0,L,0.9851,TRUE
2,3,linear,0.6,0,L,1.2177,TRUE
2,4,linear,0,0.45,R,1.4682,TRUE
2,5,linear,0.15,0,R,1.8682,FALSE
2,6,radial,0.3,0,L,1.3186,TRUE
2,7,radial,0.15,0,L,1.509,TRUE
2,8,linear,0,0.15,R,2.7189,TRUE
2,9,linear,0.45,0,L,1.3576,TRUE
2,10,radial,0.6,0,L,1.0739,TRUE
2,11,radial,0,0.3,R,1.5347,TRUE
2,12,radial,0,0.6,R,1.268,TRUE
2,13,linear,0,0.6,R,1.2855,TRUE
2,14,linear,0,0.3,R,1.3019,TRUE
2,15,radial,0,0.45,R,1.2534,TRUE
2,16,linear,0.3,0,L,1.4554,TRUE
3,1,linear,0.6,0,L,1.1511,TRUE
3,2,linear,0,0.45,R,0.87432,TRUE
3,3,radial,0,0.15,L,2.006,FALSE
3,4,linear,0.15,0,L,2.1705,TRUE
3,5,linear,0,0.15,R,1.2853,TRUE
3,6,radial,0.45,0,L,1.235,TRUE
3,7,linear,0.45,0,L,1.3899,TRUE
3,8,linear,0,0.6,R,1.1012,TRUE
3,9,linear,0,0.3,R,1.7399,TRUE
3,10,radial,0.3,0,L,1.3198,TRUE
3,11,radial,0.15,0,L,1.201,TRUE
3,12,linear,0.3,0,L,1.1677,TRUE
3,13,radial,0.6,0,L,1.1513,TRUE
3,14,radial,0,0.3,R,1.1512,TRUE
3,15,radial,0,0.6,R,1.2844,TRUE
3,16,radial,0,0.45,R,1.059,TRUE
4,1,linear,0.6,0,R,2.5022,FALSE
4,2,radial,0,0.15,R,1.1685,TRUE
4,3,radial,0.45,0,L,0.95092,TRUE
4,4,linear,0,0.45,R,1.3519,TRUE
4,5,radial,0.3,0,L,1.0177,TRUE
4,6,radial,0.15,0,L,1.6199,TRUE
4,7,radial,0.6,0,L,1.3574,TRUE
4,8,linear,0.15,0,L,2.0025,TRUE
4,9,radial,0,0.3,R,1.3178,TRUE
4,10,linear,0,0.15,R,1.5681,TRUE
4,11,linear,0.45,0,L,1.6378,TRUE
4,12,radial,0,0.6,R,1.2178,TRUE
4,13,linear,0,0.6,R,1.5179,TRUE
4,14,linear,0,0.3,R,2.0693,TRUE
4,15,radial,0,0.45,R,1.1846,TRUE
4,16,linear,0.3,0,R,1.8517,FALSE
5,1,radial,0,0.15,R,1.1675,TRUE
5,2,radial,0.45,0,L,1.1513,TRUE
5,3,radial,0.3,0,L,1.2186,TRUE
5,4,linear,0.6,0,L,1.3176,TRUE
5,5,radial,0.15,0,L,1.4022,TRUE
5,6,linear,0,0.45,R,2.2853,TRUE
5,7,radial,0.6,0,L,1.8516,TRUE
5,8,linear,0.15,0,L,2.9527,TRUE
5,9,radial,0,0.3,R,1.4178,TRUE
5,10,linear,0,0.15,R,2.9703,TRUE
5,11,linear,0.45,0,L,1.4378,TRUE
5,12,linear,0,0.6,R,1.7682,TRUE
5,13,linear,0,0.3,L,1.2513,FALSE
5,14,radial,0,0.6,R,1.0676,TRUE
5,15,linear,0.3,0,L,2.1694,TRUE
5,16,radial,0,0.45,R,1.1346,TRUE
