Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0,0.6,R,2.4188,TRUE
1,2,radial,0.6,0,L,1.7591,TRUE
1,3,radial,0,0.15,R,3.0023,TRUE
1,4,radial,0,0.45,R,1.4851,TRUE
1,5,linear,0.6,0,L,2.0852,TRUE
1,6,linear,0,0.45,R,1.806,TRUE
1,7,radial,0,0.3,R,2.2557,TRUE
1,8,radial,0.45,0,L,2.2076,TRUE
1,9,radial,0,0.6,R,1.8017,TRUE
1,10,radial,0.15,0,L,2.6943,TRUE
1,11,radial,0.3,0,L,1.7851,TRUE
1,12,linear,0,0.3,R,1.8016,TRUE
1,13,linear,0.3,0,L,2.0686,TRUE
1,14,linear,0.45,0,L,1.726,TRUE
1,15,linear,0,0.15,R,3.4364,TRUE
1,16,linear,0.15,0,L,5.3733,TRUE
2,1,radial,0.6,0,L,1.6423,TRUE
2,2,linear,0,0.6,R,1.7028,TRUE
2,3,linear,0.6,0,L,1.4681,TRUE
2,4,linear,0,0.45,R,1.385,TRUE
2,5,linear,0,0.3,L,1.6223,FALSE
2,6,linear,0.3,0,L,1.9183,TRUE
2,7,radial,0,0.15,R,3.0565,TRUE
2,8,linear,0.45,0,L,1.8684,TRUE
2,9,radial,0,0.45,R,2.1689,TRUE
2,10,linear,0,0.15,R,3.5366,TRUE
2,11,radial,0,0.3,R,2.3391,TRUE
2,12,radial,0.45,0,L,2.0194,TRUE
2,13,linear,0.15,0,L,3.9369,TRUE
2,14,radial,0,0.6,R,1.4677,TRUE
2,15,radial,0.15,0,R,4.2451,FALSE
2,16,radial,0.3,0,L,2.7561,TRUE
3,1,radial,0.6,0,L,1.835,TRUE
3,2,radial,0,0.15,R,7.0754,TRUE
3,3,linear,0,0.6,R,1.406,TRUE
3,4,radial,0,0.45,R,1.4513,TRUE
3,5,radial,0,0.3,R,2.2355,TRUE
3,6,linear,0.6,0,L,2.4854,TRUE
3,7,linear,0,0.45,R,2.9692,TRUE
3,8,radial,0.45,0,L,1.519,TRUE
3,9,linear,0,0.3,R,1.5218,TRUE
3,10,linear,0.3,0,L,2.0017,TRUE
3,11,radial,0,0.6,R,2.1187,TRUE
3,12,linear,0.45,0,L,1.6016,TRUE
3,13,linear,0,0.15,R,3.9387,TRUE
3,14,radial,0.15,0,L,4.0927,TRUE
3,15,radial,0.3,0,L,2.953,TRUE
3,16,linear,0.15,0,R,5.5716,FALSE
4,1,radial,0.6,0,L,1.573,TRUE
4,2,radial,0,0.15,L,5.5883,FALSE
4,3,radial,0,0.45,R,2.0353,TRUE
4,4,radial,0,0.3,R,2.3522,TRUE
4,5,linear,0,0.6,R,1.3539,TRUE
4,6,radial,0.45,0,L,1.5065,TRUE
4,7,radial,0,0.6,R,1.5198,TRUE
4,8,linear,0.6,0,L,1.3514,TRUE
4,9,radial,0.15,0,L,2.2186,TRUE
4,10,radial,0.3,0,L,2.9358,TRUE
4,11,linear,0,0.45,R,1.5015,TRUE
4,12,linear,0,0.3,R,2.4736,TRUE
4,13,linear,0.3,0,L,2.4353,TRUE
4,14,linear,0.45,0,L,2.1018,TRUE
4,15,linear,0,0.15,R,6.1054,TRUE
4,16,linear,0.15,0,R,5.8218,FALSE
5,1,linear,0,0.6,R,1.5231,TRUE
5,2,radial,0.6,0,L,1.5853,TRUE
5,3,radial,0,0.15,R,3.3748,TRUE
5,4,radial,0,0.45,R,1.9186,TRUE
5,5,linear,0.6,0,L,1.7019,TRUE
5,6,radial,0,0.3,R,2.0853,TRUE
5,7,linear,0,0.45,R,2.1856,TRUE
5,8,radial,0.45,0,L,1.3681,TRUE
5,9,radial,0,0.6,R,1.6255,TRUE
5,10,linear,0,0.3,R,1.9048,TRUE
5,11,radial,0.15,0,L,2.2684,TRUE
5,12,radial,0.3,0,L,1.718,TRUE
5,13,linear,0.3,0,L,2.2688,TRUE
5,14,linear,0.45,0,L,1.7582,TRUE
5,15,linear,0,0.15,R,7.0396,TRUE
5,16,linear,0.15,0,L,3.5034,TRUE
