Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.6,0,L,5.2211,TRUE
1,2,radial,0,0.15,R,2.886,TRUE
1,3,radial,0.45,0,L,1.2343,TRUE
1,4,radial,0.3,0,L,1.4683,TRUE
1,5,radial,0.15,0,L,2.5191,TRUE
1,6,radial,0.6,0,L,1.4013,TRUE
1,7,linear,0,0.45,R,1.9077,TRUE
1,8,linear,0.15,0,L,2.8023,TRUE
1,9,radial,0,0.3,R,2.3856,TRUE
1,10,radial,0,0.6,R,3.2029,TRUE
1,11,radial,0,0.45,R,2.4687,TRUE
1,12,linear,0,0.15,R,6.0219,TRUE
1,13,linear,0.45,0,L,2.453,TRUE
1,14,linear,0,0.6,R,2.3028,TRUE
1,15,linear,0,0.3,R,8.2071,TRUE
1,16,linear,0.3,0,L,1.9944,TRUE
2,1,radial,0,0.15,R,1.4849,TRUE
2,2,radial,0.45,0,L,1.4525,TRUE
2,3,linear,0.6,0,L,2.5017,TRUE
2,4,linear,0,0.45,R,1.3512,TRUE
2,5,linear,0.15,0,L,1.8399,TRUE
2,6,radial,0.3,0,L,1.456,TRUE
2,7,radial,0.15,0,L,1.4738,TRUE
2,8,linear,0,0.15,R,2.6522,TRUE
2,9,linear,0.45,0,L,1.7848,TRUE
2,10,radial,0.6,0,L,3.2865,TRUE
2,11,radial,0,0.3,R,1.3846,TRUE
2,12,radial,0,0.6,R,1.4513,TRUE
2,13,linear,0,0.6,R,2.819,TRUE
2,14,linear,0,0.3,R,3.0864,TRUE
2,15,radial,0,0.45,R,4.3702,TRUE
2,16,linear,0.3,0,L,2.936,TRUE
3,1,linear,0.6,0,L,2.7887,TRUE
3,2,linear,0,0.45,R,2.054,TRUE
3,3,radial,0,0.15,R,1.779,TRUE
3,4,linear,0.15,0,L,1.8236,TRUE
3,5,linear,0,0.15,R,1.8458,TRUE
3,6,radial,0.45,0,L,1.6015,TRUE
3,7,linear,0.45,0,R,5.0212,FALSE
3,8,linear,0,0.6,R,1.5182,TRUE
3,9,linear,0,0.3,R,4.3201,TRUE
3,10,radial,0.3,0,L,2.2188,TRUE
3,11,radial,0.15,0,L,2.6054,TRUE
3,12,linear,0.3,0,R,2.27,FALSE
3,13,radial,0.6,0,L,2.9027,TRUE
3,14,radial,0,0.3,R,2.5031,TRUE
3,15,radial,0,0.6,R,2.1686,TRUE
3,16,radial,0,0.45,R,2.2852,TRUE
4,1,linear,0.6,0,L,1.3844,TRUE
4,2,radial,0,0.15,R,3.1695,TRUE
4,3,radial,0.45,0,L,4.087,TRUE
4,4,linear,0,0.45,R,2.4356,TRUE
4,5,radial,0.3,0,L,1.3681,TRUE
4,6,radial,0.15,0,L,2.2188,TRUE
4,7,radial,0.6,0,L,3.5197,TRUE
4,8,linear,0.15,0, ,0,0
4,9,radial,0,0.3,L,2.9191,FALSE
4,10,linear,0,0.15,R,4.0703,TRUE
4,11,linear,0.45,0,R,3.1358,FALSE
4,12,radial,0,0.6,L,2.4721,FALSE
4,13,linear,0,0.6, ,0,0
4,14,linear,0,0.3,R,7.6732,TRUE
4,15,radial,0,0.45,R,2.7025,TRUE
4,16,linear,0.3,0,L,5.7715,TRUE
5,1,radial,0,0.15,R,1.6687,TRUE
5,2,radial,0.45,0,L,1.6687,TRUE
5,3,radial,0.3,0,L,1.6181,TRUE
5,4,linear,0.6,0,L,1.535,TRUE
5,5,radial,0.15,0,L,3.7915,TRUE
5,6,linear,0,0.45,R,1.7778,TRUE
5,7,radial,0.6,0,L,1.3734,TRUE
5,8,linear,0.15,0,L,5.7081,TRUE
5,9,radial,0,0.3,R,2.1018,TRUE
5,10,linear,0,0.15,L,1.8353,FALSE
5,11,linear,0.45,0,R,1.6701,FALSE
5,12,linear,0,0.6,L,4.304,FALSE
5,13,linear,0,0.3,R,4.5881,TRUE
5,14,radial,0,0.6,L,6.0083,FALSE
5,15,linear,0.3,0,L,2.5024,TRUE
5,16,radial,0,0.45,R,1.4516,TRUE
