Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0,0.6,R,1.3511,TRUE
1,2,radial,0.6,0,L,1.1181,TRUE
1,3,radial,0,0.15,R,3.2865,TRUE
1,4,radial,0,0.45,R,1.6572,TRUE
1,5,linear,0.6,0,L,2.0027,TRUE
1,6,linear,0,0.45,R,1.8853,TRUE
1,7,radial,0,0.3,R,2.5242,TRUE
1,8,radial,0.45,0,L,0.90393,TRUE
1,9,radial,0,0.6,R,1.2844,TRUE
1,10,radial,0.15,0,R,1.1846,FALSE
1,11,radial,0.3,0,L,1.2044,TRUE
1,12,linear,0,0.3,R,1.218,TRUE
1,13,linear,0.3,0,L,1.9181,TRUE
1,14,linear,0.45,0,L,1.2846,TRUE
1,15,linear,0,0.15,R,1.4707,TRUE
1,16,linear,0.15,0,L,3.9054,TRUE
2,1,radial,0.6,0,L,1.0677,TRUE
2,2,linear,0,0.6,R,1.2178,TRUE
2,3,linear,0.6,0,L,1.318,TRUE
2,4,linear,0,0.45,R,1.4349,TRUE
2,5,linear,0,0.3,R,1.0681,TRUE
2,6,linear,0.3,0,L,1.2846,TRUE
2,7,radial,0,0.15,R,2.335,TRUE
2,8,linear,0.45,0,L,1.2013,TRUE
2,9,radial,0,0.45,R,1.368,TRUE
2,10,linear,0,0.15,R,5.1377,TRUE
2,11,radial,0,0.3,R,1.5186,TRUE
2,12,radial,0.45,0,L,1.4016,TRUE
2,13,linear,0.15,0,R,4.6209,FALSE
2,14,radial,0,0.6,R,1.492,TRUE
2,15,radial,0.15,0,L,2.8443,TRUE
2,16,radial,0.3,0,L,1.2689,TRUE
3,1,radial,0.6,0,L,1.0844,TRUE
3,2,radial,0,0.15,R,3.2693,TRUE
3,3,linear,0,0.6,R,1.102,TRUE
3,4,radial,0,0.45,R,1.1347,TRUE
3,5,radial,0,0.3,R,1.2178,TRUE
3,6,linear,0.6,0,L,1.168,TRUE
3,7,linear,0,0.45,R,1.1677,TRUE
3,8,radial,0.45,0,L,1.1846,TRUE
3,9,linear,0,0.3,R,1.94,TRUE
3,10,linear,0.3,0,L,2.5692,TRUE
3,11,radial,0,0.6,R,1.1185,TRUE
3,12,linear,0.45,0,L,1.3732,TRUE
3,13,linear,0,0.15,R,3.0734,TRUE
3,14,radial,0.15,0,L,1.7576,TRUE
3,15,radial,0.3,0,L,3.2534,TRUE
3,16,linear,0.15,0,R,2.6859,FALSE
4,1,radial,0.6,0,L,1.7349,TRUE
4,2,radial,0,0.15,R,2.4466,TRUE
4,3,radial,0,0.45,R,1.1554,TRUE
4,4,radial,0,0.3,R,1.4175,TRUE
4,5,linear,0,0.6,R,1.3179,TRUE
4,6,radial,0.45,0,L,1.2844,TRUE
4,7,radial,0,0.6,R,1.101,TRUE
4,8,linear,0.6,0,L,1.3516,TRUE
4,9,radial,0.15,0,L,1.9346,TRUE
4,10,radial,0.3,0,L,1.9182,TRUE
4,11,linear,0,0.45,R,1.5122,TRUE
4,12,linear,0,0.3,R,1.8516,TRUE
4,13,linear,0.3,0,L,1.8685,TRUE
4,14,linear,0.45,0,L,1.418,TRUE
4,15,linear,0,0.15,R,1.8849,TRUE
4,16,linear,0.15,0,L,2.5071,TRUE
5,1,linear,0,0.6,R,1.1921,TRUE
5,2,radial,0.6,0,L,1.6262,TRUE
5,3,radial,0,0.15,R,2.3688,TRUE
5,4,radial,0,0.45,R,1.2844,TRUE
5,5,linear,0.6,0,L,1.2694,TRUE
5,6,radial,0,0.3,R,1.0533,TRUE
5,7,linear,0,0.45,R,1.1679,TRUE
5,8,radial,0.45,0,L,1.5347,TRUE
5,9,radial,0,0.6,R,1.4843,TRUE
5,10,linear,0,0.3,R,1.3183,TRUE
5,11,radial,0.15,0,L,2.3519,TRUE
5,12,radial,0.3,0,L,2.4082,TRUE
5,13,linear,0.3,0,L,2.7356,TRUE
5,14,linear,0.45,0,L,2.7022,TRUE
5,15,linear,0,0.15,R,1.7697,TRUE
5,16,linear,0.15,0,L,2.836,TRUE
