Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.6,0,L,3.6368,TRUE
1,2,radial,0,0.15, ,0,0
1,3,radial,0.45,0,L,2.0786,TRUE
1,4,radial,0.3,0,L,1.7583,TRUE
1,5,radial,0.15,0,L,1.9027,TRUE
1,6,radial,0.6,0,L,1.7525,TRUE
1,7,linear,0,0.45,R,3.8367,TRUE
1,8,linear,0.15,0,L,5.1386,TRUE
1,9,radial,0,0.3,R,2.2351,TRUE
1,10,radial,0,0.6,R,2.0521,TRUE
1,11,radial,0,0.45,R,1.4524,TRUE
1,12,linear,0,0.15, ,0,0
1,13,linear,0.45,0,L,3.0192,TRUE
1,14,linear,0,0.6,R,1.6522,TRUE
1,15,linear,0,0.3,R,4.6873,TRUE
1,16,linear,0.3,0,L,2.1687,TRUE
2,1,radial,0,0.15,L,7.9899,FALSE
2,2,radial,0.45,0,L,1.668,TRUE
2,3,linear,0.6,0,L,2.2854,TRUE
2,4,linear,0,0.45,R,2.1688,TRUE
2,5,linear,0.15,0,L,2.454,TRUE
2,6,radial,0.3,0,L,2.3015,TRUE
2,7,radial,0.15,0,L,3.0362,TRUE
2,8,linear,0,0.15,L,3.1197,FALSE
2,9,linear,0.45,0,L,1.9018,TRUE
2,10,radial,0.6,0,L,1.5016,TRUE
2,11,radial,0,0.3,R,1.9351,TRUE
2,12,radial,0,0.6,R,1.74,TRUE
2,13,linear,0,0.6,R,1.7518,TRUE
2,14,linear,0,0.3,R,3.2531,TRUE
2,15,radial,0,0.45,R,1.72,TRUE
2,16,linear,0.3,0,L,3.6698,TRUE
3,1,linear,0.6,0,L,4.2704,TRUE
3,2,linear,0,0.45,R,2.3685,TRUE
3,3,radial,0,0.15,L,4.0203,FALSE
3,4,linear,0.15,0,R,6.1886,FALSE
3,5,linear,0,0.15,L,3.0712,FALSE
3,6,radial,0.45,0,L,1.6849,TRUE
3,7,linear,0.45,0,L,2.1519,TRUE
3,8,linear,0,0.6,R,2.7358,TRUE
3,9,linear,0,0.3,R,2.9691,TRUE
3,10,radial,0.3,0,L,1.671,TRUE
3,11,radial,0.15,0,L,6.7892,TRUE
3,12,linear,0.3,0,L,2.9192,TRUE
3,13,radial,0.6,0,L,2.0018,TRUE
3,14,radial,0,0.3,R,3.0532,TRUE
3,15,radial,0,0.6,R,1.9018,TRUE
3,16,radial,0,0.45,R,1.3347,TRUE
4,1,linear,0.6,0,L,2.8691,TRUE
4,2,radial,0,0.15,L,4.771,FALSE
4,3,radial,0.45,0,L,1.0515,TRUE
4,4,linear,0,0.45,L,5.1876,FALSE
4,5,radial,0.3,0,L,2.6856,TRUE
4,6,radial,0.15,0,L,1.3346,TRUE
4,7,radial,0.6,0,L,1.5846,TRUE
4,8,linear,0.15,0,L,2.3253,TRUE
4,9,radial,0,0.3,R,2.269,TRUE
4,10,linear,0,0.15,R,2.6523,TRUE
4,11,linear,0.45,0,L,2.2901,TRUE
4,12,radial,0,0.6,R,2.0686,TRUE
4,13,linear,0,0.6,R,1.3845,TRUE
4,14,linear,0,0.3,R,3.0027,TRUE
4,15,radial,0,0.45,R,1.4181,TRUE
4,16,linear,0.3,0,L,3.3058,TRUE
5,1,radial,0,0.15,R,3.2192,TRUE
5,2,radial,0.45,0,L,2.6523,TRUE
5,3,radial,0.3,0,R,3.3366,FALSE
5,4,linear,0.6,0,L,1.6042,TRUE
5,5,radial,0.15,0,R,4.3873,FALSE
5,6,linear,0,0.45,L,4.254,FALSE
5,7,radial,0.6,0,L,2.0022,TRUE
5,8,linear,0.15,0,L,4.1258,TRUE
5,9,radial,0,0.3,R,2.469,TRUE
5,10,linear,0,0.15,R,2.6705,TRUE
5,11,linear,0.45,0,L,2.7191,TRUE
5,12,linear,0,0.6,R,2.3529,TRUE
5,13,linear,0,0.3,R,2.8027,TRUE
5,14,radial,0,0.6,R,1.9351,TRUE
5,15,linear,0.3,0,L,3.8204,TRUE
5,16,radial,0,0.45,R,1.9516,TRUE
