"","SubID","PatternType","RT","Acc","Speed","Gender","Coh","group"
"84",1043,"radial",1.418,TRUE,"2deg/s","Male",0.6,"child"
"85",1043,"linear",2.2868,TRUE,"8deg/s","Male",0.6,"child"
"86",1043,"linear",1.6179,TRUE,"8deg/s","Male",0.45,"child"
"87",1043,"linear",3.1198,TRUE,"8deg/s","Male",0.45,"child"
"88",1043,"radial",1.9191,TRUE,"8deg/s","Male",0.15,"child"
"89",1043,"radial",1.0344,TRUE,"8deg/s","Male",0.45,"child"
"90",1043,"linear",1.6346,TRUE,"8deg/s","Male",0.45,"child"
"91",1043,"linear",1.6848,TRUE,"2deg/s","Male",0.45,"child"
"92",1043,"linear",NA,FALSE,"8deg/s","Male",0.15,"child"
"93",1043,"radial",3.5292,FALSE,"2deg/s","Male",0.6,"child"
"94",1043,"radial",1.3847,TRUE,"8deg/s","Male",0.45,"child"
"95",1043,"linear",3.4195,FALSE,"2deg/s","Male",0.3,"child"
"96",1043,"linear",3.2695,TRUE,"8deg/s","Male",0.3,"child"
"97",1043,"radial",3.4076,TRUE,"2deg/s","Male",0.3,"child"
"98",1043,"radial",4.087,TRUE,"2deg/s","Male",0.45,"child"
"99",1043,"radial",1.6687,TRUE,"2deg/s","Male",0.15,"child"
"100",1043,"radial",1.3015,TRUE,"8deg/s","Male",0.15,"child"
"101",1043,"radial",1.4849,TRUE,"2deg/s","Male",0.15,"child"
"102",1043,"radial",1.4513,TRUE,"2deg/s","Male",0.6,"child"
"103",1043,"linear",3.1106,TRUE,"2deg/s","Male",0.3,"child"
"104",1043,"radial",3.5197,TRUE,"2deg/s","Male",0.6,"child"
"105",1043,"linear",6.9922,TRUE,"8deg/s","Male",0.15,"child"
"106",1043,"radial",1.2678,TRUE,"8deg/s","Male",0.15,"child"
"107",1043,"linear",3.1024,TRUE,"8deg/s","Male",0.3,"child"
"108",1043,"radial",2.1687,TRUE,"8deg/s","Male",0.15,"child"
"109",1043,"linear",2.2355,TRUE,"8deg/s","Male",0.45,"child"
"110",1043,"radial",1.0675,TRUE,"8deg/s","Male",0.6,"child"
"111",1043,"linear",2.9691,TRUE,"8deg/s","Male",0.15,"child"
"112",1043,"linear",1.8236,TRUE,"2deg/s","Male",0.15,"child"
"113",1043,"linear",5.0042,TRUE,"2deg/s","Male",0.15,"child"
"114",1043,"radial",1.6691,TRUE,"2deg/s","Male",0.6,"child"
"115",1043,"radial",1.9852,TRUE,"8deg/s","Male",0.15,"child"
"116",1043,"linear",2.5686,TRUE,"8deg/s","Male",0.15,"child"
"117",1043,"radial",1.6347,TRUE,"2deg/s","Male",0.15,"child"
"118",1043,"radial",2.3354,FALSE,"8deg/s","Male",0.15,"child"
"119",1043,"radial",1.6687,TRUE,"2deg/s","Male",0.45,"child"
"120",1043,"radial",1.2677,TRUE,"2deg/s","Male",0.3,"child"
"121",1043,"linear",4.0371,FALSE,"2deg/s","Male",0.45,"child"
"122",1043,"radial",1.469,TRUE,"8deg/s","Male",0.45,"child"
"123",1043,"linear",1.985,TRUE,"8deg/s","Male",0.45,"child"
"124",1043,"radial",1.301,TRUE,"8deg/s","Male",0.3,"child"
"125",1043,"radial",1.418,TRUE,"8deg/s","Male",0.6,"child"
"126",1043,"linear",1.9077,TRUE,"2deg/s","Male",0.45,"child"
"127",1043,"radial",1.4348,TRUE,"8deg/s","Male",0.45,"child"
"128",1043,"radial",1.5187,TRUE,"8deg/s","Male",0.3,"child"
"129",1043,"radial",8.1902,TRUE,"2deg/s","Male",0.15,"child"
