"SubID","Block","Trial","PatternType","LeftCoh","RightCoh","Response","RT","Acc","Speed","AgeDays","Gender","Condition","Group","group.name","Coh"
"1043",2,6,"radial",0.6,0,"L",1.3515,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",3,7,"radial",0.6,0,"L",1.3734,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",2,16,"radial",0,0.45,"R",1.8014,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",4,3,"radial",0,0.15,"R",2.0198,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",1,7,"radial",0,0.15,"R",3.1196,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",2,9,"linear",0,0.3,"L",1.0768,FALSE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",3,3,"linear",0.6,0,"L",2.5017,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",1,9,"radial",0,0.6,"R",1.3014,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",3,11,"radial",0,0.45,"R",2.4687,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",3,14,"linear",0,0.6,"R",2.3028,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",2,8,"linear",0.15,0,"R",5.3542,FALSE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",2,10,"linear",0,0.15,"L",2.6027,FALSE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",2,13,"linear",0,0.6,"R",1.591,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",2,10,"radial",0.3,0,"L",2.8025,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",3,9,"radial",0,0.3,"R",2.1018,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
