Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0,0.6,R,1.9514,TRUE
1,2,radial,0.6,0,L,1.2898,TRUE
1,3,radial,0,0.15,L,2.6857,FALSE
1,4,radial,0,0.45,R,1.5355,TRUE
1,5,linear,0.6,0,L,0.93461,TRUE
1,6,linear,0,0.45,R,1.3185,TRUE
1,7,radial,0,0.3,R,1.6514,TRUE
1,8,radial,0.45,0,L,1.2417,TRUE
1,9,radial,0,0.6,R,1.1206,TRUE
1,10,radial,0.15,0,R,2.0543,FALSE
1,11,radial,0.3,0,L,1.2856,TRUE
1,12,linear,0,0.3,R,2.6859,TRUE
1,13,linear,0.3,0,L,2.569,TRUE
1,14,linear,0.45,0,L,2.3894,TRUE
1,15,linear,0,0.15,L,5.588,FALSE
1,16,linear,0.15,0,L,2.6025,TRUE
2,1,radial,0.6,0,L,1.3394,TRUE
2,2,linear,0,0.6,R,1.1222,TRUE
2,3,linear,0.6,0,L,1.8185,TRUE
2,4,linear,0,0.45,R,3.0532,TRUE
2,5,linear,0,0.3,R,1.7518,TRUE
2,6,linear,0.3,0,L,1.7514,TRUE
2,7,radial,0,0.15,R,2.3047,TRUE
2,8,linear,0.45,0,L,2.619,TRUE
2,9,radial,0,0.45,R,2.1354,TRUE
2,10,linear,0,0.15,R,6.0717,TRUE
2,11,radial,0,0.3,R,7.4061,TRUE
2,12,radial,0.45,0,L,1.1689,TRUE
2,13,linear,0.15,0,L,2.1064,TRUE
2,14,radial,0,0.6,R,1.1016,TRUE
2,15,radial,0.15,0,L,1.7852,TRUE
2,16,radial,0.3,0,L,1.7267,TRUE
3,1,radial,0.6,0,L,1.9223,TRUE
3,2,radial,0,0.15,L,3.5032,FALSE
3,3,linear,0,0.6,R,1.1689,TRUE
3,4,radial,0,0.45,R,1.335,TRUE
3,5,radial,0,0.3,R,1.7514,TRUE
3,6,linear,0.6,0,L,1.2847,TRUE
3,7,linear,0,0.45,R,1.2345,TRUE
3,8,radial,0.45,0,L,1.1523,TRUE
3,9,linear,0,0.3,R,1.8861,TRUE
3,10,linear,0.3,0,L,1.7748,TRUE
3,11,radial,0,0.6,R,1.2417,TRUE
3,12,linear,0.45,0,L,1.7682,TRUE
3,13,linear,0,0.15,R,2.7691,TRUE
3,14,radial,0.15,0,R,1.718,FALSE
3,15,radial,0.3,0,L,1.4687,TRUE
3,16,linear,0.15,0,L,1.7682,TRUE
4,1,radial,0.6,0,L,1.1886,TRUE
4,2,radial,0,0.15,L,2.4186,FALSE
4,3,radial,0,0.45,R,1.176,TRUE
4,4,radial,0,0.3,R,1.1522,TRUE
4,5,linear,0,0.6,R,1.785,TRUE
4,6,radial,0.45,0,L,1.2681,TRUE
4,7,radial,0,0.6,R,1.9019,TRUE
4,8,linear,0.6,0,L,5.6215,TRUE
4,9,radial,0.15,0,R,1.7683,FALSE
4,10,radial,0.3,0,L,1.4678,TRUE
4,11,linear,0,0.45,R,1.8015,TRUE
4,12,linear,0,0.3,R,1.8016,TRUE
4,13,linear,0.3,0,L,2.6355,TRUE
4,14,linear,0.45,0,L,1.7851,TRUE
4,15,linear,0,0.15,L,2.302,FALSE
4,16,linear,0.15,0,L,1.8525,TRUE
5,1,linear,0,0.6,R,1.2513,TRUE
5,2,radial,0.6,0,L,1.1676,TRUE
5,3,radial,0,0.15,L,2.7867,FALSE
5,4,radial,0,0.45,R,0.86746,TRUE
5,5,linear,0.6,0,L,1.3075,TRUE
5,6,radial,0,0.3,R,1.4182,TRUE
5,7,linear,0,0.45,R,1.5846,TRUE
5,8,radial,0.45,0,L,1.2039,TRUE
5,9,radial,0,0.6,R,1.3013,TRUE
5,10,linear,0,0.3,R,1.5849,TRUE
5,11,radial,0.15,0,L,2.1687,TRUE
5,12,radial,0.3,0,L,2.257,TRUE
5,13,linear,0.3,0,L,2.0016,TRUE
5,14,linear,0.45,0,L,1.9191,TRUE
5,15,linear,0,0.15,R,1.2521,TRUE
5,16,linear,0.15,0,L,2.6356,TRUE
