Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.6,0,L,1.7182,TRUE
1,2,radial,0,0.15,R,5.8381,TRUE
1,3,radial,0.45,0,L,1.4687,TRUE
1,4,radial,0.3,0,L,1.2193,TRUE
1,5,radial,0.15,0,L,1.8851,TRUE
1,6,radial,0.6,0,L,1.2011,TRUE
1,7,linear,0,0.45,R,2.1186,TRUE
1,8,linear,0.15,0,L,2.5047,TRUE
1,9,radial,0,0.3, ,0,0
1,10,radial,0,0.6,R,1.685,TRUE
1,11,radial,0,0.45,R,1.1512,TRUE
1,12,linear,0,0.15,R,1.2564,TRUE
1,13,linear,0.45,0,L,1.852,TRUE
1,14,linear,0,0.6,R,2.0684,TRUE
1,15,linear,0,0.3,R,1.3385,TRUE
1,16,linear,0.3,0,L,2.1533,TRUE
2,1,radial,0,0.15,R,4.6871,TRUE
2,2,radial,0.45,0,L,1.3894,TRUE
2,3,linear,0.6,0,L,1.6017,TRUE
2,4,linear,0,0.45,R,2.5521,TRUE
2,5,linear,0.15,0,L,4.7543,TRUE
2,6,radial,0.3,0,L,2.3352,TRUE
2,7,radial,0.15,0,L,10.1917,TRUE
2,8,linear,0,0.15,R,8.1747,TRUE
2,9,linear,0.45,0,L,3.5529,TRUE
2,10,radial,0.6,0,L,1.2548,TRUE
2,11,radial,0,0.3,R,1.6852,TRUE
2,12,radial,0,0.6,R,1.6721,TRUE
2,13,linear,0,0.6,R,1.1678,TRUE
2,14,linear,0,0.3,R,1.3678,TRUE
2,15,radial,0,0.45,R,1.4677,TRUE
2,16,linear,0.3,0,L,2.9955,TRUE
3,1,linear,0.6,0,L,4.8208,TRUE
3,2,linear,0,0.45,R,2.0186,TRUE
3,3,radial,0,0.15,R,1.8849,TRUE
3,4,linear,0.15,0,L,8.9744,TRUE
3,5,linear,0,0.15,R,2.0019,TRUE
3,6,radial,0.45,0,L,1.3013,TRUE
3,7,linear,0.45,0,L,4.0077,TRUE
3,8,linear,0,0.6,R,2.7692,TRUE
3,9,linear,0,0.3,R,1.6053,TRUE
3,10,radial,0.3,0,L,1.2728,TRUE
3,11,radial,0.15,0,L,1.3344,TRUE
3,12,linear,0.3,0,L,2.5708,TRUE
3,13,radial,0.6,0,L,1.3186,TRUE
3,14,radial,0,0.3,R,2.5687,TRUE
3,15,radial,0,0.6,R,2.9544,TRUE
3,16,radial,0,0.45,R,2.6058,TRUE
4,1,linear,0.6,0,L,1.4689,TRUE
4,2,radial,0,0.15,R,1.3678,TRUE
4,3,radial,0.45,0,L,2.2187,TRUE
4,4,linear,0,0.45,L,1.9716,FALSE
4,5,radial,0.3,0,L,2.6706,TRUE
4,6,radial,0.15,0,R,2.1361,FALSE
4,7,radial,0.6,0,L,1.1178,TRUE
4,8,linear,0.15,0,L,2.7209,TRUE
4,9,radial,0,0.3,R,1.9683,TRUE
4,10,linear,0,0.15,R,1.8019,TRUE
4,11,linear,0.45,0,R,2.4784,FALSE
4,12,radial,0,0.6,R,1.7681,TRUE
4,13,linear,0,0.6,R,1.418,TRUE
4,14,linear,0,0.3,L,1.8514,FALSE
4,15,radial,0,0.45,R,1.2572,TRUE
4,16,linear,0.3,0,L,1.2348,TRUE
5,1,radial,0,0.15,L,3.5699,FALSE
5,2,radial,0.45,0,L,1.7514,TRUE
5,3,radial,0.3,0,L,1.9185,TRUE
5,4,linear,0.6,0,L,1.3885,TRUE
5,5,radial,0.15,0,L,1.4013,TRUE
5,6,linear,0,0.45,R,2.5713,TRUE
5,7,radial,0.6,0,L,1.0343,TRUE
5,8,linear,0.15,0,L,2.8025,TRUE
5,9,radial,0,0.3,L,1.4844,FALSE
5,10,linear,0,0.15,L,5.6223,FALSE
5,11,linear,0.45,0,R,3.2531,FALSE
5,12,linear,0,0.6,R,3.738,TRUE
5,13,linear,0,0.3,L,4.7374,FALSE
5,14,radial,0,0.6,R,2.6732,TRUE
5,15,linear,0.3,0,L,1.6947,TRUE
5,16,radial,0,0.45,R,3.086,TRUE
