Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0,0.6,R,3.0023,TRUE
1,2,radial,0.6,0,L,2.0685,TRUE
1,3,radial,0,0.15,R,2.6691,TRUE
1,4,radial,0,0.45,R,1.6266,TRUE
1,5,linear,0.6,0,L,2.4185,TRUE
1,6,linear,0,0.45,R,1.5692,TRUE
1,7,radial,0,0.3,R,2.0519,TRUE
1,8,radial,0.45,0,L,1.1515,TRUE
1,9,radial,0,0.6,R,1.3851,TRUE
1,10,radial,0.15,0,R,1.5435,FALSE
1,11,radial,0.3,0,L,1.488,TRUE
1,12,linear,0,0.3,R,1.5012,TRUE
1,13,linear,0.3,0,L,2.4874,TRUE
1,14,linear,0.45,0,L,4.5724,TRUE
1,15,linear,0,0.15,R,4.5873,TRUE
1,16,linear,0.15,0,R,2.8447,FALSE
2,1,radial,0.6,0,L,1.4849,TRUE
2,2,linear,0,0.6,R,1.4021,TRUE
2,3,linear,0.6,0,L,2.3688,TRUE
2,4,linear,0,0.45,R,2.4459,TRUE
2,5,linear,0,0.3,R,3.7037,TRUE
2,6,linear,0.3,0,L,2.2187,TRUE
2,7,radial,0,0.15,R,1.8016,TRUE
2,8,linear,0.45,0,L,2.0521,TRUE
2,9,radial,0,0.45,R,1.5854,TRUE
2,10,linear,0,0.15,R,3.8204,TRUE
2,11,radial,0,0.3,R,1.9514,TRUE
2,12,radial,0.45,0,L,1.2208,TRUE
2,13,linear,0.15,0,L,5.3547,TRUE
2,14,radial,0,0.6,R,2.8362,TRUE
2,15,radial,0.15,0,L,2.9521,TRUE
2,16,radial,0.3,0,L,1.2543,TRUE
3,1,radial,0.6,0,L,1.4016,TRUE
3,2,radial,0,0.15,R,5.4383,TRUE
3,3,linear,0,0.6,R,1.7683,TRUE
3,4,radial,0,0.45,R,2.0017,TRUE
3,5,radial,0,0.3,R,1.7686,TRUE
3,6,linear,0.6,0,L,2.3208,TRUE
3,7,linear,0,0.45,R,1.6681,TRUE
3,8,radial,0.45,0,L,2.4125,TRUE
3,9,linear,0,0.3,R,1.4725,TRUE
3,10,linear,0.3,0,L,2.8688,TRUE
3,11,radial,0,0.6,R,1.6849,TRUE
3,12,linear,0.45,0,L,1.7684,TRUE
3,13,linear,0,0.15,R,3.6365,TRUE
3,14,radial,0.15,0,L,2.57,TRUE
3,15,radial,0.3,0,L,2.9358,TRUE
3,16,linear,0.15,0,L,2.8524,TRUE
4,1,radial,0.6,0,L,2.6702,TRUE
4,2,radial,0,0.15,R,1.5011,TRUE
4,3,radial,0,0.45,R,2.7364,TRUE
4,4,radial,0,0.3,R,1.9852,TRUE
4,5,linear,0,0.6,R,2.9611,TRUE
4,6,radial,0.45,0,L,1.3707,TRUE
4,7,radial,0,0.6,R,2.0183,TRUE
4,8,linear,0.6,0,L,1.785,TRUE
4,9,radial,0.15,0,R,1.3352,FALSE
4,10,radial,0.3,0,L,1.5184,TRUE
4,11,linear,0,0.45,R,1.1186,TRUE
4,12,linear,0,0.3,R,1.9522,TRUE
4,13,linear,0.3,0,L,2.6524,TRUE
4,14,linear,0.45,0,L,2.1419,TRUE
4,15,linear,0,0.15, ,0,0
4,16,linear,0.15,0,R,2.0352,FALSE
5,1,linear,0,0.6,R,1.9879,TRUE
5,2,radial,0.6,0,L,1.1678,TRUE
5,3,radial,0,0.15,R,2.2558,TRUE
5,4,radial,0,0.45,R,2.0388,TRUE
5,5,linear,0.6,0,L,1.9015,TRUE
5,6,radial,0,0.3,R,2.4272,TRUE
5,7,linear,0,0.45,R,2.5519,TRUE
5,8,radial,0.45,0,L,2.719,TRUE
5,9,radial,0,0.6,R,1.0344,TRUE
5,10,linear,0,0.3,R,2.0686,TRUE
5,11,radial,0.15,0,R,3.9698,FALSE
5,12,radial,0.3,0,L,1.3726,TRUE
5,13,linear,0.3,0,L,1.7516,TRUE
5,14,linear,0.45,0,R,2.7692,FALSE
5,15,linear,0,0.15,R,3.2046,TRUE
5,16,linear,0.15,0,R,5.1713,FALSE
