Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.6,0,L,1.9181,TRUE
1,2,radial,0,0.15,R,4.1084,TRUE
1,3,radial,0.45,0,L,1.51,TRUE
1,4,radial,0.3,0,L,1.8021,TRUE
1,5,radial,0.15,0,L,5.5379,TRUE
1,6,radial,0.6,0,L,2.6272,TRUE
1,7,linear,0,0.45,R,3.6529,TRUE
1,8,linear,0.15,0,R,3.1858,FALSE
1,9,radial,0,0.3,R,3.4031,TRUE
1,10,radial,0,0.6,R,5.2375,TRUE
1,11,radial,0,0.45,R,1.9016,TRUE
1,12,linear,0,0.15,R,1.9854,TRUE
1,13,linear,0.45,0,L,1.827,TRUE
1,14,linear,0,0.6,R,1.7681,TRUE
1,15,linear,0,0.3,R,1.9851,TRUE
1,16,linear,0.3,0,L,2.9691,TRUE
2,1,radial,0,0.15,L,6.2894,FALSE
2,2,radial,0.45,0,L,1.8688,TRUE
2,3,linear,0.6,0,L,7.5567,TRUE
2,4,linear,0,0.45,R,2.5694,TRUE
2,5,linear,0.15,0,L,3.67,TRUE
2,6,radial,0.3,0,L,5.1444,TRUE
2,7,radial,0.15,0,R,3.8873,FALSE
2,8,linear,0,0.15,L,2.7526,FALSE
2,9,linear,0.45,0,L,1.835,TRUE
2,10,radial,0.6,0,L,1.6179,TRUE
2,11,radial,0,0.3,R,1.9182,TRUE
2,12,radial,0,0.6,R,2.0519,TRUE
2,13,linear,0,0.6,R,1.537,TRUE
2,14,linear,0,0.3,R,3.0201,TRUE
2,15,radial,0,0.45,R,4.3777,TRUE
2,16,linear,0.3,0,L,3.0191,TRUE
3,1,linear,0.6,0,L,1.9853,TRUE
3,2,linear,0,0.45,R,7.1997,TRUE
3,3,radial,0,0.15,L,4.1368,FALSE
3,4,linear,0.15,0,R,2.3524,FALSE
3,5,linear,0,0.15,L,2.9193,FALSE
3,6,radial,0.45,0,L,1.2012,TRUE
3,7,linear,0.45,0,L,2.0016,TRUE
3,8,linear,0,0.6,R,1.9185,TRUE
3,9,linear,0,0.3,R,3.1697,TRUE
3,10,radial,0.3,0,L,1.5019,TRUE
3,11,radial,0.15,0,L,1.3859,TRUE
3,12,linear,0.3,0,L,1.5281,TRUE
3,13,radial,0.6,0,L,1.2678,TRUE
3,14,radial,0,0.3,R,2.9693,TRUE
3,15,radial,0,0.6,R,1.4864,TRUE
3,16,radial,0,0.45,R,1.8515,TRUE
4,1,linear,0.6,0,L,2.6591,TRUE
4,2,radial,0,0.15,L,5.6211,FALSE
4,3,radial,0.45,0,L,1.5347,TRUE
4,4,linear,0,0.45,R,2.2023,TRUE
4,5,radial,0.3,0,L,2.1018,TRUE
4,6,radial,0.15,0,L,2.9194,TRUE
4,7,radial,0.6,0,L,1.5575,TRUE
4,8,linear,0.15,0,L,2.1518,TRUE
4,9,radial,0,0.3,R,2.0527,TRUE
4,10,linear,0,0.15,L,4.5713,FALSE
4,11,linear,0.45,0,L,1.8684,TRUE
4,12,radial,0,0.6,R,2.2688,TRUE
4,13,linear,0,0.6,R,2.3518,TRUE
4,14,linear,0,0.3,R,4.4084,TRUE
4,15,radial,0,0.45, ,0,0
4,16,linear,0.3,0,L,3.3701,TRUE
5,1,radial,0,0.15,R,1.9352,TRUE
5,2,radial,0.45,0,L,2.6296,TRUE
5,3,radial,0.3,0,L,1.7464,TRUE
5,4,linear,0.6,0,L,2.0854,TRUE
5,5,radial,0.15,0,L,2.1523,TRUE
5,6,linear,0,0.45,R,1.3848,TRUE
5,7,radial,0.6,0,L,1.5579,TRUE
5,8,linear,0.15,0,L,2.0851,TRUE
5,9,radial,0,0.3,R,3.3202,TRUE
5,10,linear,0,0.15,L,3.8369,FALSE
5,11,linear,0.45,0,L,1.9525,TRUE
5,12,linear,0,0.6,R,2.8525,TRUE
5,13,linear,0,0.3,R,2.7063,TRUE
5,14,radial,0,0.6,R,1.34,TRUE
5,15,linear,0.3,0,L,3.1523,TRUE
5,16,radial,0,0.45,R,2.0515,TRUE
