Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.6,0,L,2.035,TRUE
1,2,radial,0,0.15,R,3.2194,TRUE
1,3,radial,0.45,0,L,2.5094,TRUE
1,4,radial,0.3,0,L,1.8682,TRUE
1,5,radial,0.15,0,L,2.452,TRUE
1,6,radial,0.6,0,L,1.8684,TRUE
1,7,linear,0,0.45,R,1.8255,TRUE
1,8,linear,0.15,0,L,3.4897,TRUE
1,9,radial,0,0.3,R,1.9016,TRUE
1,10,radial,0,0.6,R,1.6532,TRUE
1,11,radial,0,0.45,R,2.253,TRUE
1,12,linear,0,0.15,R,1.9193,TRUE
1,13,linear,0.45,0,L,1.5849,TRUE
1,14,linear,0,0.6,R,2.8023,TRUE
1,15,linear,0,0.3,R,1.9526,TRUE
1,16,linear,0.3,0,R,2.7546,FALSE
2,1,radial,0,0.15,R,3.1026,TRUE
2,2,radial,0.45,0,L,1.9851,TRUE
2,3,linear,0.6,0,L,6.8097,TRUE
2,4,linear,0,0.45,R,2.9357,TRUE
2,5,linear,0.15,0,R,6.3891,FALSE
2,6,radial,0.3,0,L,2.8023,TRUE
2,7,radial,0.15,0,L,2.235,TRUE
2,8,linear,0,0.15,R,2.9534,TRUE
2,9,linear,0.45,0,L,5.4585,TRUE
2,10,radial,0.6,0,L,1.7012,TRUE
2,11,radial,0,0.3,R,2.5857,TRUE
2,12,radial,0,0.6,R,2.9687,TRUE
2,13,linear,0,0.6,R,2.269,TRUE
2,14,linear,0,0.3,R,1.735,TRUE
2,15,radial,0,0.45,R,1.9017,TRUE
2,16,linear,0.3,0,L,5.0624,TRUE
3,1,linear,0.6,0,L,2.9694,TRUE
3,2,linear,0,0.45,R,3.6365,TRUE
3,3,radial,0,0.15,R,2.9024,TRUE
3,4,linear,0.15,0,R,2.4185,FALSE
3,5,linear,0,0.15,R,1.9184,TRUE
3,6,radial,0.45,0,L,6.3221,TRUE
3,7,linear,0.45,0,L,1.6513,TRUE
3,8,linear,0,0.6,R,1.4848,TRUE
3,9,linear,0,0.3,R,2.8359,TRUE
3,10,radial,0.3,0,L,2.022,TRUE
3,11,radial,0.15,0,L,3.9532,TRUE
3,12,linear,0.3,0,L,2.1684,TRUE
3,13,radial,0.6,0,L,1.7347,TRUE
3,14,radial,0,0.3,R,2.6027,TRUE
3,15,radial,0,0.6,R,1.8019,TRUE
3,16,radial,0,0.45,R,2.1523,TRUE
4,1,linear,0.6,0,L,2.6358,TRUE
4,2,radial,0,0.15,R,3.3529,TRUE
4,3,radial,0.45,0,L,1.8408,TRUE
4,4,linear,0,0.45,R,2.5521,TRUE
4,5,radial,0.3,0,L,1.5349,TRUE
4,6,radial,0.15,0,L,4.121,TRUE
4,7,radial,0.6,0,L,1.5114,TRUE
4,8,linear,0.15,0,L,7.9406,TRUE
4,9,radial,0,0.3,R,9.3116,TRUE
4,10,linear,0,0.15,L,4.1368,FALSE
4,11,linear,0.45,0,L,1.7181,TRUE
4,12,radial,0,0.6,R,1.5017,TRUE
4,13,linear,0,0.6,R,1.7201,TRUE
4,14,linear,0,0.3,R,1.8854,TRUE
4,15,radial,0,0.45,R,1.6183,TRUE
4,16,linear,0.3,0,L,1.6856,TRUE
5,1,radial,0,0.15,R,2.3436,TRUE
5,2,radial,0.45,0,L,3.6862,TRUE
5,3,radial,0.3,0,L,1.2519,TRUE
5,4,linear,0.6,0,L,1.4769,TRUE
5,5,radial,0.15,0,L,2.3022,TRUE
5,6,linear,0,0.45,R,3.0361,TRUE
5,7,radial,0.6,0,L,1.3555,TRUE
5,8,linear,0.15,0,R,2.1014,FALSE
5,9,radial,0,0.3,R,1.4847,TRUE
5,10,linear,0,0.15,L,2.1059,FALSE
5,11,linear,0.45,0,L,1.6693,TRUE
5,12,linear,0,0.6,R,1.7182,TRUE
5,13,linear,0,0.3,L,2.4686,FALSE
5,14,radial,0,0.6,R,1.2699,TRUE
5,15,linear,0.3,0,L,2.6693,TRUE
5,16,radial,0,0.45,R,1.5951,TRUE
