Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.6,0,L,2.2195,TRUE
1,2,radial,0,0.15,R,1.3845,TRUE
1,3,radial,0.45,0,L,2.1392,TRUE
1,4,radial,0.3,0,L,1.7851,TRUE
1,5,radial,0.15,0,L,2.0686,TRUE
1,6,radial,0.6,0,L,1.9188,TRUE
1,7,linear,0,0.45,R,2.561,TRUE
1,8,linear,0.15,0, ,0,0
1,9,radial,0,0.3,R,1.6848,TRUE
1,10,radial,0,0.6,R,1.5188,TRUE
1,11,radial,0,0.45,R,1.8517,TRUE
1,12,linear,0,0.15,R,2.202,TRUE
1,13,linear,0.45,0,L,2.6524,TRUE
1,14,linear,0,0.6,R,3.0362,TRUE
1,15,linear,0,0.3,R,2.7522,TRUE
1,16,linear,0.3,0,L,5.1983,TRUE
2,1,radial,0,0.15,R,3.8534,TRUE
2,2,radial,0.45,0,L,2.8029,TRUE
2,3,linear,0.6,0,L,3.4702,TRUE
2,4,linear,0,0.45,R,1.735,TRUE
2,5,linear,0.15,0,R,1.4342,FALSE
2,6,radial,0.3,0,L,3.3697,TRUE
2,7,radial,0.15,0,R,4.1365,FALSE
2,8,linear,0,0.15,L,1.9516,FALSE
2,9,linear,0.45,0,L,2.1692,TRUE
2,10,radial,0.6,0,L,2.1521,TRUE
2,11,radial,0,0.3,R,1.6238,TRUE
2,12,radial,0,0.6,R,1.7181,TRUE
2,13,linear,0,0.6,L,2.0685,FALSE
2,14,linear,0,0.3,L,3.2361,FALSE
2,15,radial,0,0.45,R,1.7781,TRUE
2,16,linear,0.3,0,L,5.231,TRUE
3,1,linear,0.6,0,L,4.6619,TRUE
3,2,linear,0,0.45,R,3.0202,TRUE
3,3,radial,0,0.15, ,0,0
3,4,linear,0.15,0, ,0,0
3,5,linear,0,0.15,R,2.1559,TRUE
3,6,radial,0.45,0,L,2.0042,TRUE
3,7,linear,0.45,0,L,7.6734,TRUE
3,8,linear,0,0.6,R,1.9684,TRUE
3,9,linear,0,0.3,R,2.872,TRUE
3,10,radial,0.3,0,L,2.0015,TRUE
3,11,radial,0.15,0,R,3.67,FALSE
3,12,linear,0.3,0,L,1.6582,TRUE
3,13,radial,0.6,0,L,1.9686,TRUE
3,14,radial,0,0.3,R,2.7191,TRUE
3,15,radial,0,0.6,R,1.6015,TRUE
3,16,radial,0,0.45,R,1.6019,TRUE
4,1,linear,0.6,0,L,4.0199,TRUE
4,2,radial,0,0.15,R,2.3028,TRUE
4,3,radial,0.45,0,L,2.1353,TRUE
4,4,linear,0,0.45,R,2.0352,TRUE
4,5,radial,0.3,0,L,2.2187,TRUE
4,6,radial,0.15,0,L,2.1518,TRUE
4,7,radial,0.6,0,L,1.502,TRUE
4,8,linear,0.15,0,L,3.5805,TRUE
4,9,radial,0,0.3,R,4.12,TRUE
4,10,linear,0,0.15,R,2.622,TRUE
4,11,linear,0.45,0,L,2.3561,TRUE
4,12,radial,0,0.6,R,2.8699,TRUE
4,13,linear,0,0.6,R,1.5175,TRUE
4,14,linear,0,0.3,R,3.5636,TRUE
4,15,radial,0,0.45,R,2.1021,TRUE
4,16,linear,0.3,0,L,2.4356,TRUE
5,1,radial,0,0.15,R,3.3868,TRUE
5,2,radial,0.45,0,L,2.6956,TRUE
5,3,radial,0.3,0,L,2.7192,TRUE
5,4,linear,0.6,0,L,1.9518,TRUE
5,5,radial,0.15,0,L,2.202,TRUE
5,6,linear,0,0.45,R,2.2187,TRUE
5,7,radial,0.6,0,L,2.5353,TRUE
5,8,linear,0.15,0,L,5.0055,TRUE
5,9,radial,0,0.3,R,1.8684,TRUE
5,10,linear,0,0.15,L,6.1132,FALSE
5,11,linear,0.45,0,L,2.3024,TRUE
5,12,linear,0,0.6,R,4.2373,TRUE
5,13,linear,0,0.3,R,4.2886,TRUE
5,14,radial,0,0.6,R,3.5698,TRUE
5,15,linear,0.3,0,L,6.2553,TRUE
5,16,radial,0,0.45,R,1.669,TRUE
