Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.6,0,L,1.1404,TRUE
1,2,radial,0,0.15,R,2.4525,TRUE
1,3,radial,0.45,0,L,1.1034,TRUE
1,4,radial,0.3,0,L,1.9015,TRUE
1,5,radial,0.15,0,L,1.5201,TRUE
1,6,radial,0.6,0,L,1.0199,TRUE
1,7,linear,0,0.45,R,1.6849,TRUE
1,8,linear,0.15,0,L,3.0027,TRUE
1,9,radial,0,0.3,R,1.1703,TRUE
1,10,radial,0,0.6,R,1.2023,TRUE
1,11,radial,0,0.45,R,1.2675,TRUE
1,12,linear,0,0.15,R,4.8208,TRUE
1,13,linear,0.45,0,L,1.318,TRUE
1,14,linear,0,0.6,R,1.1533,TRUE
1,15,linear,0,0.3,R,2.9735,TRUE
1,16,linear,0.3,0,L,2.202,TRUE
2,1,radial,0,0.15,R,1.2519,TRUE
2,2,radial,0.45,0,L,1.3693,TRUE
2,3,linear,0.6,0,L,1.2545,TRUE
2,4,linear,0,0.45,R,1.2542,TRUE
2,5,linear,0.15,0,L,1.785,TRUE
2,6,radial,0.3,0,L,1.0678,TRUE
2,7,radial,0.15,0,L,1.1346,TRUE
2,8,linear,0,0.15,L,1.2013,FALSE
2,9,linear,0.45,0,L,1.3681,TRUE
2,10,radial,0.6,0,L,1.2678,TRUE
2,11,radial,0,0.3,R,1.2846,TRUE
2,12,radial,0,0.6,R,1.1554,TRUE
2,13,linear,0,0.6,R,1.14,TRUE
2,14,linear,0,0.3,R,1.3181,TRUE
2,15,radial,0,0.45,R,1.2857,TRUE
2,16,linear,0.3,0,L,2.6856,TRUE
3,1,linear,0.6,0,L,1.9183,TRUE
3,2,linear,0,0.45,R,1.1345,TRUE
3,3,radial,0,0.15,R,1.3935,TRUE
3,4,linear,0.15,0,L,2.7861,TRUE
3,5,linear,0,0.15,L,2.0185,FALSE
3,6,radial,0.45,0,L,1.618,TRUE
3,7,linear,0.45,0,L,1.3517,TRUE
3,8,linear,0,0.6,R,1.168,TRUE
3,9,linear,0,0.3,R,1.4848,TRUE
3,10,radial,0.3,0,L,1.1511,TRUE
3,11,radial,0.15,0,L,1.1905,TRUE
3,12,linear,0.3,0,L,1.2378,TRUE
3,13,radial,0.6,0,L,1.051,TRUE
3,14,radial,0,0.3,R,1.2366,TRUE
3,15,radial,0,0.6,R,1.2553,TRUE
3,16,radial,0,0.45,R,2.0024,TRUE
4,1,linear,0.6,0,L,1.6014,TRUE
4,2,radial,0,0.15,R,2.3243,TRUE
4,3,radial,0.45,0,L,1.368,TRUE
4,4,linear,0,0.45,R,1.7684,TRUE
4,5,radial,0.3,0,L,1.9023,TRUE
4,6,radial,0.15,0,R,1.9684,FALSE
4,7,radial,0.6,0,L,1.2012,TRUE
4,8,linear,0.15,0,L,4.7873,TRUE
4,9,radial,0,0.3,R,1.335,TRUE
4,10,linear,0,0.15,R,4.3704,TRUE
4,11,linear,0.45,0,L,1.3178,TRUE
4,12,radial,0,0.6,R,1.1512,TRUE
4,13,linear,0,0.6,R,1.4511,TRUE
4,14,linear,0,0.3,R,2.1518,TRUE
4,15,radial,0,0.45,R,1.1679,TRUE
4,16,linear,0.3,0,L,1.735,TRUE
5,1,radial,0,0.15,R,4.1615,TRUE
5,2,radial,0.45,0,L,2.3187,TRUE
5,3,radial,0.3,0,L,7.5567,TRUE
5,4,linear,0.6,0,L,1.1345,TRUE
5,5,radial,0.15,0,L,1.8683,TRUE
5,6,linear,0,0.45,R,1.7511,TRUE
5,7,radial,0.6,0,L,1.1511,TRUE
5,8,linear,0.15,0,L,3.5363,TRUE
5,9,radial,0,0.3,R,1.1514,TRUE
5,10,linear,0,0.15,R,2.2549,TRUE
5,11,linear,0.45,0,L,1.6681,TRUE
5,12,linear,0,0.6,R,1.2845,TRUE
5,13,linear,0,0.3,L,1.9361,FALSE
5,14,radial,0,0.6,R,1.8186,TRUE
5,15,linear,0.3,0,L,1.5408,TRUE
5,16,radial,0,0.45,R,1.0844,TRUE
