Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.6,0,L,1.8684,TRUE
1,2,radial,0,0.15,R,2.8529,TRUE
1,3,radial,0.45,0,L,1.5352,TRUE
1,4,radial,0.3,0,L,1.8182,TRUE
1,5,radial,0.15,0,L,1.8402,TRUE
1,6,radial,0.6,0,L,2.5355,TRUE
1,7,linear,0,0.45,R,2.2354,TRUE
1,8,linear,0.15,0,L,4.8208,TRUE
1,9,radial,0,0.3,R,2.4579,TRUE
1,10,radial,0,0.6,R,1.6682,TRUE
1,11,radial,0,0.45,R,2.1521,TRUE
1,12,linear,0,0.15,R,5.2476,TRUE
1,13,linear,0.45,0,L,2.3886,TRUE
1,14,linear,0,0.6,R,2.4194,TRUE
1,15,linear,0,0.3,R,4.1452,TRUE
1,16,linear,0.3,0,L,3.9607,TRUE
2,1,radial,0,0.15,R,3.4194,TRUE
2,2,radial,0.45,0,L,1.7021,TRUE
2,3,linear,0.6,0,L,1.5526,TRUE
2,4,linear,0,0.45,R,3.1524,TRUE
2,5,linear,0.15,0,L,3.0215,TRUE
2,6,radial,0.3,0,L,2.0688,TRUE
2,7,radial,0.15,0, ,0,0
2,8,linear,0,0.15,L,8.3067,FALSE
2,9,linear,0.45,0,L,1.9851,TRUE
2,10,radial,0.6,0,L,4.4724,TRUE
2,11,radial,0,0.3,R,2.305,TRUE
2,12,radial,0,0.6,R,1.6185,TRUE
2,13,linear,0,0.6,R,2.2684,TRUE
2,14,linear,0,0.3,R,5.1709,TRUE
2,15,radial,0,0.45,R,1.7517,TRUE
2,16,linear,0.3,0,L,2.9729,TRUE
3,1,linear,0.6,0,L,1.8884,TRUE
3,2,linear,0,0.45,R,2.8362,TRUE
3,3,radial,0,0.15,R,5.5548,TRUE
3,4,linear,0.15,0,L,3.5696,TRUE
3,5,linear,0,0.15,R,9.2086,TRUE
3,6,radial,0.45,0,L,2.8693,TRUE
3,7,linear,0.45,0,L,1.9351,TRUE
3,8,linear,0,0.6,R,2.1351,TRUE
3,9,linear,0,0.3,R,4.3058,TRUE
3,10,radial,0.3,0,L,3.1532,TRUE
3,11,radial,0.15,0,L,4.0372,TRUE
3,12,linear,0.3,0,L,4.1032,TRUE
3,13,radial,0.6,0,L,2.3254,TRUE
3,14,radial,0,0.3,R,3.6106,TRUE
3,15,radial,0,0.6,R,3.0554,TRUE
3,16,radial,0,0.45,R,5.8221,TRUE
4,1,linear,0.6,0,L,3.1085,TRUE
4,2,radial,0,0.15,R,3.4531,TRUE
4,3,radial,0.45,0,L,3.3694,TRUE
4,4,linear,0,0.45,R,3.386,TRUE
4,5,radial,0.3,0,L,5.7051,TRUE
4,6,radial,0.15,0,L,4.4705,TRUE
4,7,radial,0.6,0,L,2.9361,TRUE
4,8,linear,0.15,0,R,4.4036,FALSE
4,9,radial,0,0.3,R,2.9533,TRUE
4,10,linear,0,0.15,L,2.769,FALSE
4,11,linear,0.45,0,L,2.086,TRUE
4,12,radial,0,0.6,R,1.8515,TRUE
4,13,linear,0,0.6,R,2.6022,TRUE
4,14,linear,0,0.3,R,2.1852,TRUE
4,15,radial,0,0.45,R,1.6385,TRUE
4,16,linear,0.3,0,L,2.7025,TRUE
5,1,radial,0,0.15,R,3.4193,TRUE
5,2,radial,0.45,0,L,2.8026,TRUE
5,3,radial,0.3,0,L,3.1362,TRUE
5,4,linear,0.6,0,L,4.0779,TRUE
5,5,radial,0.15,0,R,6.3556,FALSE
5,6,linear,0,0.45,R,3.6866,TRUE
5,7,radial,0.6,0,L,2.2185,TRUE
5,8,linear,0.15,0,R,4.6562,FALSE
5,9,radial,0,0.3,R,2.476,TRUE
5,10,linear,0,0.15,L,5.4875,FALSE
5,11,linear,0.45,0,R,3.8034,FALSE
5,12,linear,0,0.6,R,2.3569,TRUE
5,13,linear,0,0.3,R,3.1232,TRUE
5,14,radial,0,0.6,R,4.2869,TRUE
5,15,linear,0.3,0,L,2.1183,TRUE
5,16,radial,0,0.45,R,1.9682,TRUE
