Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0,0.6,R,1.4589,TRUE
1,2,radial,0.6,0,L,1.0175,TRUE
1,3,radial,0,0.15,R,3.287,TRUE
1,4,radial,0,0.45,R,1.3424,TRUE
1,5,linear,0.6,0,L,1.2013,TRUE
1,6,linear,0,0.45,R,1.1012,TRUE
1,7,radial,0,0.3,R,1.151,TRUE
1,8,radial,0.45,0,L,1.2509,TRUE
1,9,radial,0,0.6,R,1.1679,TRUE
1,10,radial,0.15,0,L,2.0852,TRUE
1,11,radial,0.3,0,L,1.3848,TRUE
1,12,linear,0,0.3,R,1.8851,TRUE
1,13,linear,0.3,0,L,1.2857,TRUE
1,14,linear,0.45,0,L,1.9016,TRUE
1,15,linear,0,0.15,R,2.6717,TRUE
1,16,linear,0.15,0,L,1.1852,TRUE
2,1,radial,0.6,0,L,1.1012,TRUE
2,2,linear,0,0.6,R,1.2843,TRUE
2,3,linear,0.6,0,L,1.6192,TRUE
2,4,linear,0,0.45,R,2.4685,TRUE
2,5,linear,0,0.3,R,1.6434,TRUE
2,6,linear,0.3,0,L,1.7023,TRUE
2,7,radial,0,0.15,R,2.986,TRUE
2,8,linear,0.45,0,L,1.9856,TRUE
2,9,radial,0,0.45,R,1.22,TRUE
2,10,linear,0,0.15,R,5.5236,TRUE
2,11,radial,0,0.3,R,1.4344,TRUE
2,12,radial,0.45,0,L,1.902,TRUE
2,13,linear,0.15,0,R,1.686,FALSE
2,14,radial,0,0.6,R,1.368,TRUE
2,15,radial,0.15,0,L,2.3359,TRUE
2,16,radial,0.3,0,L,1.3404,TRUE
3,1,radial,0.6,0,L,1.7182,TRUE
3,2,radial,0,0.15,R,2.0185,TRUE
3,3,linear,0,0.6,R,1.101,TRUE
3,4,radial,0,0.45,R,1.2176,TRUE
3,5,radial,0,0.3,R,1.5848,TRUE
3,6,linear,0.6,0,L,1.2852,TRUE
3,7,linear,0,0.45,R,1.5189,TRUE
3,8,radial,0.45,0,L,1.2528,TRUE
3,9,linear,0,0.3,R,2.3192,TRUE
3,10,linear,0.3,0,L,1.2843,TRUE
3,11,radial,0,0.6,R,1.0178,TRUE
3,12,linear,0.45,0,L,1.0175,TRUE
3,13,linear,0,0.15,R,0.95104,TRUE
3,14,radial,0.15,0,L,1.9851,TRUE
3,15,radial,0.3,0,L,1.2179,TRUE
3,16,linear,0.15,0,L,2.2539,TRUE
4,1,radial,0.6,0,L,1.2852,TRUE
4,2,radial,0,0.15,R,2.986,TRUE
4,3,radial,0,0.45,R,1.2678,TRUE
4,4,radial,0,0.3,L,2.886,FALSE
4,5,linear,0,0.6,R,1.152,TRUE
4,6,radial,0.45,0,L,1.2015,TRUE
4,7,radial,0,0.6,R,1.0844,TRUE
4,8,linear,0.6,0,L,1.1845,TRUE
4,9,radial,0.15,0,R,3.3359,FALSE
4,10,radial,0.3,0,L,1.9561,TRUE
4,11,linear,0,0.45,R,2.4856,TRUE
4,12,linear,0,0.3,R,1.7888,TRUE
4,13,linear,0.3,0,L,2.8193,TRUE
4,14,linear,0.45,0,L,6.0395,TRUE
4,15,linear,0,0.15,R,4.2145,TRUE
4,16,linear,0.15,0,L,5.2974,TRUE
5,1,linear,0,0.6,R,1.7023,TRUE
5,2,radial,0.6,0,L,1.5181,TRUE
5,3,radial,0,0.15, ,0,0
5,4,radial,0,0.45,R,1.0344,TRUE
5,5,linear,0.6,0,L,1.0845,TRUE
5,6,radial,0,0.3,R,1.0532,TRUE
5,7,linear,0,0.45,R,1.0076,TRUE
5,8,radial,0.45,0,L,1.0551,TRUE
5,9,radial,0,0.6,R,1.7346,TRUE
5,10,linear,0,0.3,R,1.6011,TRUE
5,11,radial,0.15,0,L,1.8852,TRUE
5,12,radial,0.3,0,L,1.1677,TRUE
5,13,linear,0.3,0,L,2.1185,TRUE
5,14,linear,0.45,0,L,1.2179,TRUE
5,15,linear,0,0.15,R,2.1019,TRUE
5,16,linear,0.15,0,L,1.9684,TRUE
