Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.6,0,L,1.5179,TRUE
1,2,radial,0,0.15,R,1.6687,TRUE
1,3,radial,0.45,0,L,1.2186,TRUE
1,4,radial,0.3,0,L,2.6521,TRUE
1,5,radial,0.15,0,L,3.8701,TRUE
1,6,radial,0.6,0,L,1.3516,TRUE
1,7,linear,0,0.45,R,1.4363,TRUE
1,8,linear,0.15,0,L,3.8703,TRUE
1,9,radial,0,0.3,R,1.5752,TRUE
1,10,radial,0,0.6,R,1.803,TRUE
1,11,radial,0,0.45,R,1.9687,TRUE
1,12,linear,0,0.15,L,4.9715,FALSE
1,13,linear,0.45,0,L,1.5683,TRUE
1,14,linear,0,0.6,R,1.318,TRUE
1,15,linear,0,0.3,R,2.1017,TRUE
1,16,linear,0.3,0,L,2.586,TRUE
2,1,radial,0,0.15,R,1.6852,TRUE
2,2,radial,0.45,0,L,1.9027,TRUE
2,3,linear,0.6,0,L,1.1682,TRUE
2,4,linear,0,0.45,R,1.1513,TRUE
2,5,linear,0.15,0,L,2.7857,TRUE
2,6,radial,0.3,0,L,1.5179,TRUE
2,7,radial,0.15,0,L,1.5094,TRUE
2,8,linear,0,0.15,R,4.1892,TRUE
2,9,linear,0.45,0,L,2.0687,TRUE
2,10,radial,0.6,0,L,1.2013,TRUE
2,11,radial,0,0.3,R,1.1844,TRUE
2,12,radial,0,0.6,R,1.2181,TRUE
2,13,linear,0,0.6,R,1.1009,TRUE
2,14,linear,0,0.3,R,1.3846,TRUE
2,15,radial,0,0.45,R,1.1678,TRUE
2,16,linear,0.3,0,L,1.2348,TRUE
3,1,linear,0.6,0,L,1.169,TRUE
3,2,linear,0,0.45,R,1.4017,TRUE
3,3,radial,0,0.15,R,1.4531,TRUE
3,4,linear,0.15,0,L,3.8869,TRUE
3,5,linear,0,0.15,R,2.5093,TRUE
3,6,radial,0.45,0,L,1.306,TRUE
3,7,linear,0.45,0,L,2.1878,TRUE
3,8,linear,0,0.6,R,1.2855,TRUE
3,9,linear,0,0.3,R,2.4397,TRUE
3,10,radial,0.3,0,L,1.4386,TRUE
3,11,radial,0.15,0,L,4.8541,TRUE
3,12,linear,0.3,0,L,2.5523,TRUE
3,13,radial,0.6,0,L,1.4886,TRUE
3,14,radial,0,0.3,R,1.4846,TRUE
3,15,radial,0,0.6,R,1.118,TRUE
3,16,radial,0,0.45,R,1.168,TRUE
4,1,linear,0.6,0,L,1.2011,TRUE
4,2,radial,0,0.15,R,1.0854,TRUE
4,3,radial,0.45,0,L,1.018,TRUE
4,4,linear,0,0.45,R,2.4025,TRUE
4,5,radial,0.3,0,L,1.2676,TRUE
4,6,radial,0.15,0,L,2.2363,TRUE
4,7,radial,0.6,0,L,1.2348,TRUE
4,8,linear,0.15,0,L,2.8861,TRUE
4,9,radial,0,0.3,R,1.2679,TRUE
4,10,linear,0,0.15,R,3.6196,TRUE
4,11,linear,0.45,0,L,2.0685,TRUE
4,12,radial,0,0.6,R,2.1021,TRUE
4,13,linear,0,0.6,R,1.5013,TRUE
4,14,linear,0,0.3,R,2.4025,TRUE
4,15,radial,0,0.45,R,1.5354,TRUE
4,16,linear,0.3,0,L,2.7525,TRUE
5,1,radial,0,0.15,R,2.3688,TRUE
5,2,radial,0.45,0,L,2.0189,TRUE
5,3,radial,0.3,0,L,2.0021,TRUE
5,4,linear,0.6,0,L,1.7222,TRUE
5,5,radial,0.15,0,L,4.9607,TRUE
5,6,linear,0,0.45,R,1.253,TRUE
5,7,radial,0.6,0,L,1.1515,TRUE
5,8,linear,0.15,0,L,4.1037,TRUE
5,9,radial,0,0.3,R,1.3013,TRUE
5,10,linear,0,0.15,R,2.3519,TRUE
5,11,linear,0.45,0,L,1.1845,TRUE
5,12,linear,0,0.6,R,1.118,TRUE
5,13,linear,0,0.3,L,0.98452,FALSE
5,14,radial,0,0.6,R,2.3019,TRUE
5,15,linear,0.3,0,L,2.0683,TRUE
5,16,radial,0,0.45,R,1.101,TRUE
